#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 06 21 03 30  53  8.9 10.6 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
2014 06 21 03 40  53  8.2 10.1 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
2014 06 21 03 50  66  8.4  9.4 99.00 99.00 99.00 999 9999.0   5.1   3.1   5.1 99.0 99.00
2014 06 21 04 00  54  8.5 10.1 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.0 99.0 99.00
2014 06 21 04 10  58  8.7  9.9 99.00 99.00 99.00 999 9999.0   5.0   3.1   5.0 99.0 99.00
2014 06 21 04 20  54  9.0 10.0 99.00 99.00 99.00 999 9999.0   4.9   3.1   4.9 99.0 99.00
2014 06 21 04 30  58  8.5  9.7 99.00 99.00 99.00 999 9999.0   4.9   3.1   4.9 99.0 99.00
2014 06 21 04 40  56  7.4  8.8 99.00 99.00 99.00 999 9999.0   4.8   3.1   4.8 99.0 99.00
2014 06 21 04 50  52  8.1  9.5 99.00 99.00 99.00 999 9999.0   4.9   3.1   4.9 99.0 99.00
2014 06 21 05 00  48  8.5 10.4 99.00 99.00 99.00 999 9999.0   4.9   3.1   4.9 99.0 99.00
2014 06 21 05 10  50  9.0 11.7 99.00 99.00 99.00 999 9999.0   4.9   3.1   4.9 99.0 99.00
2014 06 21 05 20  42  8.6  9.8 99.00 99.00 99.00 999 9999.0   4.9   3.1   4.9 99.0 99.00
