#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 06 10 12 20  40  2.0   MM    MM    MM    MM  MM 1019.4   8.5   8.1   5.6   MM   MM    MM
2024 06 10 12 10  40  2.0   MM    MM    MM    MM  MM 1019.3   8.4   8.0   5.6   MM   MM    MM
2024 06 10 12 00  10  1.0   MM    MM    MM    MM  MM 1019.2   8.5   8.0   5.7   MM +0.9    MM
2024 06 10 11 50 340  1.0   MM    MM    MM    MM  MM 1019.3   8.5   8.0   5.7   MM   MM    MM
2024 06 10 11 40 330  1.0   MM    MM    MM    MM  MM 1019.3   8.4   8.0   5.7   MM   MM    MM
2024 06 10 11 30 350  2.0   MM    MM    MM    MM  MM 1019.2   8.5   8.0   5.5   MM   MM    MM
2024 06 10 11 20  30  2.0   MM    MM    MM    MM  MM 1019.1   8.9   7.9   5.4   MM   MM    MM
2024 06 10 11 10  30  2.0   MM    MM    MM    MM  MM 1019.0   9.1   7.9   5.5   MM   MM    MM
2024 06 10 11 00  20  2.0   MM    MM    MM    MM  MM 1019.0   9.4   7.9   5.7   MM +1.4    MM
2024 06 10 10 50  10  2.0   MM    MM    MM    MM  MM 1019.0   9.5   7.9   6.0   MM   MM    MM
2024 06 10 10 40 360  2.0   MM    MM    MM    MM  MM 1019.0   9.5   7.9   6.2   MM   MM    MM
2024 06 10 10 30 320  2.0   MM    MM    MM    MM  MM 1018.9   9.1   7.9   6.3   MM   MM    MM
2024 06 10 10 20 300  2.0   MM    MM    MM    MM  MM 1018.9   9.6   7.9   6.1   MM   MM    MM
2024 06 10 10 10 290  2.0   MM    MM    MM    MM  MM 1018.8  10.2   7.9   5.7   MM   MM    MM
2024 06 10 10 00 300  1.0   MM    MM    MM    MM  MM 1018.6  10.2   7.9   5.8   MM +1.0    MM
2024 06 10 09 50 290  2.0   MM    MM    MM    MM  MM 1018.5  10.1   7.9   5.9   MM   MM    MM
2024 06 10 09 40 290  2.0   MM    MM    MM    MM  MM 1018.4   9.9   7.9   6.1   MM   MM    MM
2024 06 10 09 30 240  1.0   MM    MM    MM    MM  MM 1018.4   9.8   7.9   6.5   MM   MM    MM
2024 06 10 09 20 180  1.0   MM    MM    MM    MM  MM 1018.3  10.5   7.9   6.2   MM   MM    MM
2024 06 10 09 10 170  1.0   MM    MM    MM    MM  MM 1018.4  10.5   7.9   6.1   MM   MM    MM
2024 06 10 09 00 210  1.0   MM    MM    MM    MM  MM 1018.4  10.6   7.9   6.0   MM +0.9    MM
2024 06 10 08 50 210  2.0   MM    MM    MM    MM  MM 1018.4  10.0   7.9   6.3   MM   MM    MM
2024 06 10 08 40 200  1.0   MM    MM    MM    MM  MM 1018.3  10.4   8.0   6.3   MM   MM    MM
2024 06 10 08 30  80  1.0   MM    MM    MM    MM  MM 1018.2  10.8   8.0   6.2   MM   MM    MM
2024 06 10 08 20  70  3.0   MM    MM    MM    MM  MM 1018.0  11.4   8.0   5.8   MM   MM    MM
2024 06 10 08 10  80  5.0   MM    MM    MM    MM  MM 1017.7  10.5   8.0   5.8   MM   MM    MM
